clip,question.index,question.quality,model.prediction,question.text,question
5,1,good,1,"The collision between Ball B and Ball E caused Ball A and Ball E to collide, which caused Ball E to not go through the gate.","The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to not go through the gate."
5,2,medium,0.666666667,The collision between Ball B and Ball E caused Ball A and Ball E to collide.,The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide.
5,3,bad,0.333333333,The collision between Ball A and Ball E caused Ball E to not go through the gate.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> caused <b>Ball E</b> to not go through the gate.
7,1,good,1,"The collision between Ball A and Ball B caused Ball A and Ball E to collide, which caused Ball E to go through the gate.","The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide, which caused <b>Ball E</b> to go through the gate."
7,2,medium,0.666666667,The collision between Ball A and Ball B caused Ball A and Ball E to collide.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> caused <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> to collide.
7,3,bad,0.333333333,"The collision between Ball A and Ball B prevented the collision between Ball B and Ball E, which would have caused Ball E to go through the gate.","The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
9,1,good,0.75,The collision between Ball B and Ball E affected the way Ball E didn't go through the gate.,The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> affected the way <b>Ball E</b> didn't go through the gate.
9,2,medium,0.5,The collision between Ball A and Ball E would have caused Ball E to go through the gate.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate.
9,3,bad,0.208333333,"If Ball B and E didn't collide, it would have affected the way Ball E didn't go through the gate.","If <span style='font-weight:bold;color:blue'>Ball B</span> and E didn't collide, it would have affected the way <b>Ball E</b> didn't go through the gate."
13,1,good,1,"The collision between Ball A and Ball B prevented the collision between Ball A and Ball E, which would have caused Ball E to go through the gate.","The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
13,2,medium,0.8,The collision between Ball A and Ball B prevented the collision between Ball A and Ball E.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>.
13,3,bad,0.4,The collision between Ball A and Ball E prevented Ball E from going through the gate.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented <b>Ball E</b> from going through the gate.
16,1,good,0.666666667,The collision between Ball A and Ball E affected the way Ball E went through the gate.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> affected the way <b>Ball E</b> went through the gate.
16,2,medium,0.5,"The collision between Ball A and Ball E prevented the collision between Ball B and Ball E, which would have caused Ball E to go through the gate.","The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> prevented the collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to go through the gate."
16,3,bad,0.25,The collision between Ball B and Ball E would have caused Ball E to go through the gate.,The collision between <span style='font-weight:bold;color:blue'>Ball B</span> and <b>Ball E</b> would have caused <b>Ball E</b> to go through the gate.
23,1,good,1,"The collision between Ball A and Ball B prevented the collision between Ball A and Ball E, which would have caused Ball E to not go through the gate.","The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>, which would have caused <b>Ball E</b> to not go through the gate."
23,2,medium,0.8,The collision between Ball A and Ball B prevented the collision between Ball A and Ball E.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <span style='font-weight:bold;color:blue'>Ball B</span> prevented the collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b>.
23,3,bad,0.4,The collision between Ball A and Ball E would have caused Ball E to not go through the gate.,The collision between <span style='font-weight:bold;color:green'>Ball A</span> and <b>Ball E</b> would have caused <b>Ball E</b> to not go through the gate.